results/chrome_win/,http://wwatana.be/mobile/mobile/201602/01/1.html,82,P,null null - chrome -- Windows 8.1 - Chrome 60.0.3112.113,1334,1111,24,334,1334,1043,1920,1920,1,0,14,/body[2]/div[3]/div[2]/div[1]/div[2]/ul[1]/li[4]/p[2],1334,1061,0,1198,1,Ubuntu
results/chrome_win/,http://wwatana.be/mobile/mobile/201602/01/1.html,81,A,null null - chrome -- Windows 8.1 - Chrome 60.0.3112.113,1334,1063,27,280,1334,1061,1920,1920,1,0,31,/body[2]/div[3]/div[2]/div[1]/div[2]/ul[1]/li[4]/h3[1]/a[1],966,1043,1334,1111,1,Ubuntu
results/chrome_win/,http://wwatana.be/mobile/mobile/201602/01/1.html,80,H3,null null - chrome -- Windows 8.1 - Chrome 60.0.3112.113,1334,1061,31,334,1334,1043,1920,1920,1,1,110,/body[2]/div[3]/div[2]/div[1]/div[2]/ul[1]/li[4]/h3[1],966,1043,1334,1111,0,"Times New Roman"
results/chrome_win/,http://wwatana.be/mobile/mobile/201602/01/1.html,79,LI,null null - chrome -- Windows 8.1 - Chrome 60.0.3112.113,1334,1043,108,334,190,1043,1920,1920,1,3,143,/body[2]/div[3]/div[2]/div[1]/div[2]/ul[1]/li[4],966,1043,0,1198,3,"Times New Roman"
results/chrome_win/,http://wwatana.be/mobile/mobile/201602/01/1.html,78,P,null null - chrome -- Windows 8.1 - Chrome 60.0.3112.113,966,1142,24,334,966,1043,1920,1920,1,0,14,/body[2]/div[3]/div[2]/div[1]/div[2]/ul[1]/li[3]/p[2],966,1061,1334,1043,1,Ubuntu
results/chrome_win/,http://wwatana.be/mobile/mobile/201602/01/1.html,77,A,null null - chrome -- Windows 8.1 - Chrome 60.0.3112.113,966,1063,58,284,966,1061,1920,1920,1,0,43,/body[2]/div[3]/div[2]/div[1]/div[2]/ul[1]/li[3]/h3[1]/a[1],598,1043,966,1142,1,Ubuntu
results/chrome_win/,http://wwatana.be/mobile/mobile/201602/01/1.html,76,H3,null null - chrome -- Windows 8.1 - Chrome 60.0.3112.113,966,1061,62,334,966,1043,1920,1920,1,1,141,/body[2]/div[3]/div[2]/div[1]/div[2]/ul[1]/li[3]/h3[1],598,1043,966,1142,0,"Times New Roman"
results/chrome_win/,http://wwatana.be/mobile/mobile/201602/01/1.html,75,LI,null null - chrome -- Windows 8.1 - Chrome 60.0.3112.113,966,1043,139,334,190,1043,1920,1920,1,3,174,/body[2]/div[3]/div[2]/div[1]/div[2]/ul[1]/li[3],598,1043,1334,1043,3,"Times New Roman"
results/chrome_win/,http://wwatana.be/mobile/mobile/201602/01/1.html,74,P,null null - chrome -- Windows 8.1 - Chrome 60.0.3112.113,598,1142,24,334,598,1043,1920,1920,1,0,14,/body[2]/div[3]/div[2]/div[1]/div[2]/ul[1]/li[2]/p[2],598,1061,966,1043,1,Ubuntu
results/chrome_win/,http://wwatana.be/mobile/mobile/201602/01/1.html,73,A,null null - chrome -- Windows 8.1 - Chrome 60.0.3112.113,598,1063,58,319,598,1061,1920,1920,1,0,48,/body[2]/div[3]/div[2]/div[1]/div[2]/ul[1]/li[2]/h3[1]/a[1],230,1043,598,1142,1,Ubuntu
results/chrome_win/,http://wwatana.be/mobile/mobile/201602/01/1.html,72,H3,null null - chrome -- Windows 8.1 - Chrome 60.0.3112.113,598,1061,62,334,598,1043,1920,1920,1,1,150,/body[2]/div[3]/div[2]/div[1]/div[2]/ul[1]/li[2]/h3[1],230,1043,598,1142,0,"Times New Roman"
results/chrome_win/,http://wwatana.be/mobile/mobile/201602/01/1.html,71,LI,null null - chrome -- Windows 8.1 - Chrome 60.0.3112.113,598,1043,139,334,190,1043,1920,1920,1,3,183,/body[2]/div[3]/div[2]/div[1]/div[2]/ul[1]/li[2],230,1043,966,1043,3,"Times New Roman"
results/chrome_win/,http://wwatana.be/mobile/mobile/201602/01/1.html,70,P,null null - chrome -- Windows 8.1 - Chrome 60.0.3112.113,230,1142,24,334,230,1043,1920,1920,1,0,14,/body[2]/div[3]/div[2]/div[1]/div[2]/ul[1]/li[1]/p[2],230,1061,598,1043,1,Ubuntu
results/chrome_win/,http://wwatana.be/mobile/mobile/201602/01/1.html,69,A,null null - chrome -- Windows 8.1 - Chrome 60.0.3112.113,230,1063,58,320,230,1061,1920,1920,1,0,64,/body[2]/div[3]/div[2]/div[1]/div[2]/ul[1]/li[1]/h3[1]/a[1],190,977,230,1142,1,Ubuntu
results/chrome_win/,http://wwatana.be/mobile/mobile/201602/01/1.html,68,H3,null null - chrome -- Windows 8.1 - Chrome 60.0.3112.113,230,1061,62,334,230,1043,1920,1920,1,1,175,/body[2]/div[3]/div[2]/div[1]/div[2]/ul[1]/li[1]/h3[1],190,977,230,1142,0,"Times New Roman"
results/chrome_win/,http://wwatana.be/mobile/mobile/201602/01/1.html,67,LI,null null - chrome -- Windows 8.1 - Chrome 60.0.3112.113,230,1043,139,334,190,1043,1920,1920,1,3,208,/body[2]/div[3]/div[2]/div[1]/div[2]/ul[1]/li[1],190,977,598,1043,3,"Times New Roman"
results/chrome_win/,http://wwatana.be/mobile/mobile/201602/01/1.html,66,UL,null null - chrome -- Windows 8.1 - Chrome 60.0.3112.113,190,1043,139,1712,190,1027,1920,1920,1,16,749,/body[2]/div[3]/div[2]/div[1]/div[2]/ul[1],190,977,0,1198,5,"Times New Roman"
